"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"
"11"	64	0	0	0	1	29	2	2	17	1	10	17	69	7	43	38	9	2	1	13	24	2	25	0	2	0	10	45	81	52	0	54	83	9	14	150	218	46	1	1	0	56	0	112	26	29	89	1	140	0
"12"	20	1	16	13	0	98	0	22	18	0	43	1	125	29	53	55	18	15	4	57	9	19	2	0	0	7	50	1	31	21	32	56	51	25	12	46	104	20	0	44	0	69	3	169	85	109	107	2	156	0
"13"	5	6	2	2	10	32	0	0	1	1	19	2	41	22	70	37	20	6	0	0	7	7	10	1	0	0	25	0	1	26	0	28	52	3	17	110	95	9	0	18	9	76	0	49	93	30	81	13	144	1
"14"	30	0	1	1	0	25	2	21	3	2	10	0	175	32	80	30	30	34	0	15	57	30	41	1	0	2	14	1	2	45	0	52	20	0	51	147	114	0	0	11	8	162	0	132	125	114	185	0	170	0
"15"	78	0	2	11	0	6	0	33	17	4	15	19	118	23	65	94	8	2	0	28	10	4	9	2	1	1	7	5	26	47	4	37	61	0	41	76	150	0	0	1	4	109	0	157	110	43	184	37	139	1
"16"	33	0	8	0	0	19	0	10	48	1	79	0	111	14	53	48	64	59	90	10	5	10	33	1	0	0	116	0	47	107	3	106	60	2	11	25	111	2	0	31	0	37	0	78	147	72	55	42	113	1
"17"	36	0	0	4	0	14	1	11	9	1	9	0	64	41	47	58	8	20	1	1	28	6	25	0	5	2	47	11	23	5	0	47	14	0	28	40	111	1	0	6	0	18	0	19	31	41	36	0	142	5
"18"	61	0	35	15	35	50	13	7	7	19	6	0	90	30	19	80	19	10	0	3	1	8	40	0	1	3	15	8	2	21	0	23	26	13	32	42	52	0	10	4	3	25	0	43	38	39	96	2	53	0
"19"	12	2	19	14	1	18	0	26	6	8	38	6	65	3	92	36	13	1	0	4	37	21	19	0	2	8	30	6	4	18	5	41	20	1	18	45	100	0	0	2	29	75	1	54	63	63	92	1	103	0
"20"	43	1	0	12	0	73	7	3	7	13	4	0	94	11	43	23	19	11	9	43	27	13	17	0	0	11	26	11	3	49	2	21	72	8	27	59	87	0	0	11	0	29	1	37	101	41	32	0	100	1
"21"	135	0	0	0	0	8	6	5	28	3	24	34	114	29	44	118	31	37	7	0	12	31	1	0	0	0	63	20	16	20	1	32	40	60	13	52	80	1	0	15	0	19	0	65	159	27	144	0	203	0
"22"	136	9	0	3	0	29	0	9	3	1	22	8	41	10	75	79	9	17	0	56	12	1	2	0	0	0	12	10	4	12	0	52	31	0	16	39	94	3	0	17	1	44	0	104	54	13	102	0	76	1
"23"	53	0	0	17	0	20	23	16	7	15	12	0	72	14	94	28	33	0	5	0	5	3	33	1	1	16	22	6	29	6	0	28	120	0	2	79	168	0	0	8	2	101	11	167	74	56	173	0	125	0
"24"	69	0	0	0	8	103	2	3	8	8	50	5	31	19	91	73	11	4	22	0	5	3	3	0	2	30	5	1	3	20	2	62	86	0	29	75	46	0	0	26	2	18	0	46	126	50	53	0	126	13
"25"	50	0	0	0	0	100	0	6	8	1	17	18	76	9	49	53	63	1	19	0	8	28	31	2	0	1	22	7	14	44	0	133	33	0	8	97	29	0	2	8	12	57	1	83	112	39	25	8	86	4
"26"	41	0	0	82	0	15	15	7	32	35	8	11	167	52	46	152	0	68	21	37	10	1	14	0	0	12	20	19	6	21	1	43	43	0	43	108	85	20	0	3	0	89	0	99	87	76	47	9	145	1
"27"	30	31	0	56	0	5	0	49	62	11	15	1	39	30	94	63	21	1	5	30	0	23	17	2	0	0	31	10	14	76	1	57	59	1	30	185	68	19	0	24	0	79	1	90	150	64	77	1	55	7
"28"	32	0	0	4	1	66	0	6	42	20	70	2	36	26	90	55	10	19	2	6	1	7	36	0	1	7	33	5	12	27	11	8	56	0	9	59	84	0	0	12	18	37	0	26	58	32	93	24	147	0
"29"	39	0	48	0	23	0	8	8	6	0	69	0	28	25	68	50	107	2	9	18	16	11	48	0	0	24	40	35	21	79	1	55	88	0	20	134	101	0	3	28	0	95	8	138	92	65	88	18	154	21
"30"	32	4	0	0	6	11	10	12	4	0	34	3	10	10	25	14	3	11	7	0	18	22	6	30	0	3	28	2	18	51	0	35	55	3	42	29	62	0	0	3	2	59	11	115	22	67	105	1	35	0
"31"	13	0	0	0	2	59	18	6	6	0	29	2	74	15	67	40	52	22	0	7	3	20	41	0	0	3	14	7	17	47	4	41	43	0	31	99	106	0	0	15	18	75	0	58	109	49	68	1	124	2
"32"	68	0	0	0	0	33	0	9	1	0	3	0	83	4	42	47	0	15	2	5	0	0	9	1	1	12	10	0	3	20	0	56	56	5	3	73	119	0	0	12	1	77	0	55	37	18	39	6	101	5
"33"	16	0	67	0	0	8	0	4	27	0	27	0	133	1	94	92	3	32	0	14	8	4	23	10	2	1	21	7	3	11	0	19	14	3	38	73	165	0	18	3	0	90	5	37	73	41	37	0	80	16
"34"	151	0	0	14	0	55	2	62	12	0	10	2	83	10	96	112	51	9	0	28	44	37	42	0	0	0	19	24	33	40	3	98	54	11	16	122	92	0	0	8	0	85	0	43	129	48	70	0	86	0
"35"	0	3	2	75	0	5	0	23	11	11	44	13	27	8	78	45	21	36	1	7	7	6	5	7	0	4	5	7	3	29	0	47	47	0	14	43	61	2	0	9	6	19	0	43	30	59	106	1	120	0
"36"	30	0	0	38	0	1	0	31	17	4	32	0	71	16	63	64	7	9	3	6	2	13	13	0	0	9	21	3	4	39	0	86	26	1	16	90	103	0	2	6	0	95	1	70	57	40	76	3	58	3
"37"	25	1	23	2	24	45	4	56	26	0	10	0	89	10	83	117	17	12	0	13	0	1	16	0	0	9	34	27	6	56	3	50	77	0	38	50	43	0	0	29	1	57	0	70	56	29	41	1	80	0
"38"	46	1	5	0	0	29	1	21	12	0	9	2	85	1	39	25	33	1	1	10	1	2	34	0	0	4	17	17	10	18	0	39	69	7	32	31	52	0	1	2	0	11	1	75	63	34	44	0	135	1
"39"	136	0	0	1	0	10	5	10	21	4	29	1	114	1	54	75	10	9	9	30	0	36	17	0	0	10	41	29	6	37	0	99	71	0	70	120	58	0	0	23	18	50	0	119	108	22	163	0	117	0
"40"	40	0	0	0	0	18	17	7	34	3	2	0	33	39	124	50	20	6	4	1	3	47	35	3	0	3	14	0	17	39	1	35	30	0	37	42	78	0	0	11	1	35	0	121	35	19	134	1	135	0
"41"	111	1	21	0	0	96	12	6	23	4	26	0	106	29	7	72	52	7	0	6	3	6	4	0	0	20	28	32	22	66	0	75	82	7	65	188	145	0	23	25	19	120	0	94	104	38	164	11	73	0
"42"	10	0	2	0	1	86	3	2	34	4	22	6	80	7	62	75	0	6	2	0	3	15	16	0	0	9	2	21	15	7	6	41	28	8	44	92	142	0	1	0	5	26	0	57	109	38	73	3	51	1
"43"	11	0	21	0	6	2	0	13	28	0	19	6	37	11	41	96	5	2	0	13	5	15	21	0	1	0	42	0	4	29	0	30	64	7	24	83	90	0	0	36	0	61	0	67	66	38	63	1	81	0
"44"	61	10	0	0	48	88	72	34	3	23	22	2	86	49	65	79	12	1	2	18	66	0	20	1	0	27	15	17	1	63	0	17	43	0	19	117	168	2	0	19	4	87	1	96	148	84	28	0	95	6
"45"	85	0	0	5	0	0	6	24	16	21	2	4	91	11	80	71	6	32	0	22	1	5	25	0	0	1	18	2	13	11	0	47	222	31	35	163	125	6	3	1	40	131	11	84	14	37	214	0	99	0
"46"	86	0	28	0	0	26	16	3	47	4	43	0	45	16	30	62	34	8	13	8	27	3	3	0	1	8	6	6	9	93	2	44	14	11	16	109	76	11	5	6	1	17	0	32	161	20	44	1	181	2
"47"	10	27	6	26	0	78	4	17	10	1	48	19	53	15	73	75	51	1	0	3	3	11	1	0	5	0	3	3	5	43	0	111	34	2	60	100	73	0	0	10	0	49	0	85	79	17	76	1	101	5
"48"	19	0	3	20	0	9	2	6	5	6	16	0	45	27	35	49	76	0	26	1	33	1	4	5	0	0	4	74	31	42	1	126	16	1	4	74	132	0	0	19	2	59	0	78	166	22	112	31	141	3
"49"	29	0	29	0	0	32	7	2	16	0	38	3	75	30	50	88	12	5	26	11	50	1	25	5	0	20	13	18	10	46	0	80	47	1	25	145	55	0	1	26	0	50	0	59	55	87	105	1	100	0
"50"	11	0	26	12	0	0	2	34	14	1	20	24	55	21	132	130	31	57	18	28	8	13	35	0	6	2	21	2	21	13	0	39	54	8	52	51	80	0	0	12	0	57	1	22	44	63	65	2	109	0
