"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"
"39"	49	219	95	779	1	29	130	213	3	13
"40"	68	22	169	1229	0	39	34	72	3	0
"41"	35	545	5	117	7	30	63	833	3	3
"42"	46	80	113	171	8	0	24	802	9	8
"43"	20	17	155	134	5	24	122	547	7	6
"44"	104	335	22	35	3	4	195	601	0	30
"45"	32	124	110	681	14	40	107	382	48	19
"46"	389	355	22	52	64	4	121	791	14	1
"47"	20	329	6	70	0	25	362	185	1	6
"48"	15	296	56	126	66	2	18	644	10	37
"49"	12	34	203	518	2	11	27	195	10	15
"50"	17	147	111	562	0	50	63	112	24	19
"51"	21	216	0	455	5	135	232	13	0	0
"52"	11	43	162	560	0	31	253	117	10	4
"53"	102	360	0	37	80	8	27	1080	16	4
"54"	44	80	60	497	18	0	64	251	0	0
"55"	4	42	18	995	13	8	65	122	0	11
"56"	271	217	3	207	357	0	60	457	10	36
"57"	100	324	48	120	17	8	50	759	2	7
"58"	0	1	320	650	0	0	4	166	0	25
"59"	111	155	11	457	19	0	145	148	0	4
"60"	76	162	9	741	198	10	14	135	2	16
"61"	4	80	33	1097	17	8	31	31	0	6
"62"	25	162	125	174	5	2	156	352	12	14
"63"	101	97	253	663	47	8	105	615	9	26
"64"	23	823	20	92	0	31	366	81	0	41
"65"	22	4	783	417	2	0	34	174	0	0
"66"	69	222	128	448	33	25	104	610	22	11
"67"	16	9	311	529	1	3	93	57	0	12
"68"	40	12	0	615	0	13	754	18	0	0
"69"	98	783	2	127	0	7	271	172	1	14
"70"	6	38	108	573	8	0	176	77	5	30
"71"	24	214	45	48	0	34	1031	78	0	5
"72"	113	116	65	161	34	0	35	1293	0	57
"73"	2	0	63	974	50	18	1	51	0	35
"74"	3	114	53	202	69	6	54	947	15	33
"75"	63	109	231	352	17	4	64	600	51	22
"76"	46	76	88	312	484	0	0	456	63	16
"77"	29	581	23	201	20	10	67	658	46	27
"78"	5	59	107	1067	98	0	7	134	0	41
"79"	45	482	16	0	0	0	476	445	0	12
"80"	1	0	402	1215	0	8	46	81	3	18
"81"	15	500	187	9	2	11	332	788	0	118
"82"	81	867	17	27	0	3	738	188	0	6
"83"	3	49	0	430	322	1	4	399	2	4
"84"	131	207	20	67	9	4	456	136	0	2
"85"	9	27	258	9	0	0	27	1077	5	9
"86"	99	406	8	207	9	5	273	368	2	22
"87"	1	10	37	1221	58	22	0	201	5	25
"88"	0	221	2	434	0	184	947	43	0	73
"89"	1	41	279	313	1	14	32	528	11	8
"90"	3	388	0	59	0	57	471	75	0	4
"91"	4	20	254	1444	0	13	25	124	0	44
"92"	42	65	89	416	85	0	44	508	0	29
"93"	97	576	20	16	0	2	294	575	0	17
"94"	9	13	27	993	7	30	0	16	0	0
"95"	3	120	253	1	0	0	265	1238	0	9
"96"	22	189	0	924	173	0	1	287	10	7
"97"	56	683	1	215	59	21	42	468	8	36
"98"	18	350	42	74	9	0	99	1153	2	2
"99"	121	337	50	391	21	2	98	681	2	32
"100"	80	56	225	874	28	1	33	588	10	20
"101"	2	469	44	95	0	112	467	650	0	0
"102"	39	129	12	486	5	6	201	160	1	14
"103"	54	126	59	367	0	20	262	242	8	13
"104"	0	10	21	951	0	90	17	10	0	11
"105"	1	104	122	1256	4	34	113	146	0	25
"106"	5	105	310	235	2	7	67	965	1	9
"107"	0	27	9	1750	9	116	1	1	8	12
"108"	0	19	394	16	0	5	188	925	2	9
"109"	79	464	0	33	0	7	279	166	0	3
"110"	5	23	44	918	11	1	0	206	12	3
"111"	0	126	241	571	2	17	16	722	14	8
"112"	181	248	8	514	2	3	220	555	13	51
"113"	13	175	129	689	0	39	60	499	0	23
"114"	46	327	10	212	0	33	322	249	28	26
"115"	22	102	75	232	0	113	269	278	0	5
"116"	3	187	40	470	28	65	68	181	28	1
"117"	42	161	113	312	0	7	108	353	3	5
"118"	12	458	6	151	1	32	644	213	0	6
"119"	36	45	0	1633	36	6	3	4	3	0
"120"	18	205	12	157	0	34	593	218	0	9
"121"	15	310	67	228	14	16	196	616	16	46
"122"	68	877	19	188	0	40	487	213	0	53
"123"	10	92	32	815	62	27	68	52	0	0
"124"	8	277	90	241	5	31	31	976	67	49
"125"	37	519	12	113	0	6	86	498	0	14
"126"	58	152	5	690	3	58	77	95	4	9
"127"	46	256	90	90	31	1	54	1271	14	1
"128"	0	40	288	794	0	29	201	116	3	18
"129"	31	221	8	564	15	82	750	134	3	2
"130"	57	244	46	771	69	32	27	474	0	34
"131"	5	292	48	304	0	188	271	70	2	13
"132"	0	342	39	23	1	7	88	731	3	17
"133"	204	557	9	41	68	1	149	874	0	7
"134"	13	19	8	1218	4	90	98	10	1	19
"135"	38	315	0	586	26	11	30	2	0	0
"136"	1	213	106	503	0	222	158	449	19	10
"137"	2	0	77	985	0	0	0	4	0	15
"138"	102	186	19	766	0	97	568	113	1	2
"139"	11	68	138	437	5	33	78	475	0	9
"140"	20	67	25	7	0	0	68	785	46	9
"141"	1	539	36	12	0	117	826	387	6	3
"142"	15	154	32	0	0	4	918	244	0	1
"143"	12	432	9	1206	5	70	37	145	13	5
"144"	84	678	0	674	94	70	28	143	17	14
"145"	9	46	496	724	0	5	140	218	0	2
"146"	62	83	80	281	14	13	229	403	0	31
"147"	27	48	124	1108	20	1	113	91	3	4
"148"	78	799	0	534	0	28	453	82	0	11
"149"	35	158	73	161	0	11	270	493	44	11
"150"	24	442	1	594	42	126	442	57	0	28
