"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"
"35"	7	4	0	37	4	121	3	453	4	0	48	149	0	2	151	0	31	451	44	1
"36"	27	47	33	36	0	23	0	358	5	0	22	106	2	0	267	38	9	335	43	5
"37"	6	41	0	0	35	105	0	217	26	0	3	106	1	0	167	0	10	338	21	12
"38"	74	24	1	65	12	93	8	328	11	2	49	176	0	1	153	9	18	583	37	0
"39"	31	0	0	123	36	45	6	310	0	0	21	137	10	1	122	10	16	402	22	20
"40"	113	27	2	0	18	149	0	241	0	47	31	202	12	0	153	15	18	703	17	9
"41"	64	1	0	8	174	266	0	302	0	16	34	150	9	0	149	220	15	533	45	3
"42"	21	14	1	11	18	123	0	191	24	0	5	142	3	5	140	1	43	426	49	0
"43"	76	4	4	0	15	171	5	322	0	1	45	195	32	0	207	4	21	433	36	15
"44"	89	2	23	24	0	59	7	241	0	0	40	92	2	0	130	1	1	296	21	4
"45"	65	1	0	28	113	200	0	391	0	5	56	148	0	3	172	0	29	467	33	9
"46"	210	2	8	0	39	92	2	254	3	1	24	116	2	19	93	1	30	347	19	0
"47"	50	22	23	9	0	83	0	266	7	14	10	100	1	0	101	1	8	299	17	9
"48"	37	1	0	0	36	145	34	410	0	0	27	87	10	6	102	3	19	379	90	14
"49"	21	8	2	41	46	114	4	314	9	1	27	72	11	0	211	15	10	418	23	0
"50"	139	4	0	12	52	112	1	365	2	1	25	55	22	20	127	5	28	481	133	3
"51"	75	1	0	42	26	45	1	322	0	24	7	128	0	1	305	1	10	310	12	0
"52"	299	5	1	9	98	171	1	299	2	2	32	196	1	8	219	0	6	591	50	1
"53"	34	33	0	0	40	207	2	479	0	17	46	83	2	0	137	0	19	447	26	20
"54"	44	211	7	21	5	141	1	430	19	0	24	117	1	21	220	26	22	569	37	3
"55"	44	2	42	45	6	40	2	253	0	0	18	93	0	21	159	1	34	307	27	2
"56"	177	2	0	0	108	130	2	166	0	8	14	71	2	0	121	4	5	296	36	0
"57"	29	11	0	3	110	143	0	192	5	1	24	79	2	3	74	0	5	337	24	0
"58"	169	3	47	88	0	37	4	224	0	1	59	77	3	5	115	0	7	222	63	11
"59"	119	0	2	1	10	141	0	270	1	12	41	111	0	34	175	8	16	369	38	25
"60"	50	45	62	0	121	211	0	277	1	8	30	68	0	0	132	1	2	266	16	0
"61"	8	59	11	51	13	120	0	305	0	32	47	165	1	0	241	3	13	470	44	8
"62"	0	21	0	0	494	264	0	261	0	8	15	59	0	9	84	3	2	357	6	0
"63"	236	1	0	0	63	32	11	253	0	0	48	127	1	2	225	0	5	424	21	3
"64"	12	15	0	3	154	135	1	249	3	7	10	59	2	0	83	27	7	231	27	6
"65"	325	0	460	11	13	221	0	268	2	11	18	33	8	3	94	12	28	443	20	0
"66"	26	26	0	4	95	164	4	211	3	10	34	71	2	9	206	0	8	346	22	0
"67"	76	28	2	33	13	124	1	257	10	1	90	100	0	21	197	1	22	384	17	8
"68"	142	10	39	7	31	81	5	509	7	11	89	139	0	0	214	0	86	528	40	0
"69"	209	0	50	1	0	34	0	206	1	0	31	75	1	9	141	0	7	281	21	7
"70"	146	7	39	16	31	207	1	271	1	13	14	96	3	0	223	7	39	419	39	5
"71"	74	29	1	29	111	166	1	389	0	4	63	202	2	0	144	0	13	605	46	0
"72"	27	3	0	0	175	169	2	249	2	5	18	92	3	1	84	0	9	339	40	1
"73"	6	30	0	1	28	165	5	189	0	1	18	148	4	0	92	7	0	319	16	1
"74"	20	4	0	28	133	140	5	321	2	1	19	158	0	1	105	5	0	562	81	7
"75"	88	5	8	73	11	206	3	515	21	0	23	129	1	1	131	0	1	628	48	0
"76"	100	9	0	0	38	109	7	273	7	1	8	177	0	1	138	6	14	444	6	0
"77"	154	5	0	0	75	194	5	255	1	12	20	51	0	9	199	4	19	301	7	7
"78"	31	13	51	17	8	106	3	267	0	1	18	108	2	19	219	1	34	246	34	1
"79"	135	0	3	34	44	117	0	470	8	1	50	97	5	2	96	12	6	385	25	0
"80"	84	0	50	5	27	239	0	305	17	2	55	145	1	22	218	0	29	434	4	2
"81"	141	0	0	5	25	70	0	228	5	1	24	74	7	2	165	7	34	395	19	0
"82"	42	21	16	0	7	254	2	252	3	0	11	44	0	0	141	0	18	317	10	7
"83"	33	25	0	177	0	51	6	286	14	0	57	151	0	11	217	2	63	638	17	25
"84"	207	0	2	39	0	70	0	256	2	14	50	69	28	0	81	11	41	286	18	0
"85"	150	0	0	0	178	246	9	341	2	7	26	48	41	1	50	27	20	233	0	0
"86"	94	0	0	5	145	136	0	302	0	3	32	81	8	2	178	2	6	340	56	0
"87"	68	14	115	0	6	176	0	208	4	11	24	108	0	1	47	0	1	257	24	5
"88"	506	0	22	16	2	70	37	243	8	2	13	90	0	0	77	5	0	298	24	0
"89"	164	0	1	21	14	313	9	353	4	0	31	160	15	11	235	13	21	360	26	4
"90"	78	5	5	28	15	97	0	326	10	18	21	182	10	7	114	39	10	676	37	23
"91"	44	8	104	0	35	114	11	265	0	7	22	70	1	9	128	25	19	258	26	0
"92"	40	1	16	6	5	144	8	320	2	9	13	96	5	0	74	0	7	327	48	0
"93"	18	2	0	1	114	152	0	176	31	0	26	52	7	18	211	2	3	419	31	0
"94"	91	1	0	65	49	134	12	384	10	2	60	92	3	4	252	10	13	546	35	1
"95"	353	0	114	8	1	26	3	160	1	1	5	47	0	3	69	5	1	285	2	0
"96"	26	4	0	14	32	106	16	183	0	23	15	81	15	22	135	0	34	329	36	5
"97"	207	4	33	9	42	241	0	425	1	7	5	223	22	14	189	2	64	475	27	2
"98"	50	92	76	2	13	36	0	229	0	12	12	137	1	1	185	4	1	461	13	0
"99"	10	1	8	5	22	262	0	261	0	1	15	70	8	3	174	1	24	234	3	3
"100"	57	31	3	76	24	129	0	275	3	0	88	92	24	28	190	5	3	420	27	16
"101"	21	59	0	18	2	67	11	221	3	15	46	93	0	0	162	0	16	270	7	4
"102"	164	0	0	4	89	154	13	451	1	5	13	68	3	0	137	0	16	283	22	0
"103"	16	98	99	8	8	113	22	303	2	3	4	66	1	3	243	7	35	451	20	14
"104"	213	0	140	21	3	59	14	416	1	2	34	176	2	0	198	0	13	476	30	4
"105"	324	10	24	11	1	37	6	144	0	1	62	72	0	2	76	12	13	206	6	0
"106"	24	16	0	6	29	112	1	277	0	7	47	53	0	0	117	1	19	350	6	3
"107"	78	8	20	0	165	206	3	177	0	1	32	70	28	0	69	10	9	317	36	1
"108"	249	2	43	6	9	142	1	466	0	8	48	129	3	0	102	7	17	539	60	2
"109"	13	2	0	19	130	193	1	360	0	10	26	122	0	0	169	0	5	455	23	5
"110"	141	1	0	125	0	120	1	371	0	1	54	164	2	8	246	8	14	531	9	4
"111"	7	7	0	0	37	245	4	404	14	0	95	126	30	0	136	6	24	587	47	14
"112"	14	0	0	36	94	165	2	373	2	1	26	60	31	6	173	0	5	408	13	44
"113"	28	72	35	56	1	110	3	336	6	14	40	78	2	0	111	0	1	284	73	17
"114"	260	0	11	8	19	79	8	279	1	3	14	42	0	16	135	0	4	252	21	0
"115"	126	13	74	0	12	173	0	285	2	6	14	141	13	1	156	3	8	370	26	17
"116"	42	7	0	61	2	192	17	239	0	0	87	161	1	5	154	0	15	433	66	3
"117"	3	53	10	18	0	18	5	394	5	4	15	114	0	0	147	7	16	430	53	5
"118"	85	11	2	7	164	179	0	436	0	31	7	143	5	1	241	1	25	486	69	1
"119"	66	3	0	107	0	38	3	370	3	0	88	147	10	11	175	8	0	467	10	1
"120"	4	9	0	18	12	48	2	267	9	2	23	127	8	0	82	1	6	363	29	0
"121"	165	19	0	0	110	96	0	288	0	1	59	104	1	7	125	19	7	413	50	0
"122"	66	39	2	77	68	166	11	310	1	8	42	118	21	2	139	15	29	434	44	2
"123"	210	0	0	44	3	102	4	297	10	0	43	120	1	2	169	0	1	432	45	0
"124"	9	6	0	19	31	144	0	248	10	14	45	144	7	2	94	0	4	442	31	0
"125"	155	6	15	13	18	167	24	541	17	0	46	114	4	0	189	10	41	560	52	6
"126"	10	20	2	18	35	83	0	386	2	0	43	126	0	1	137	4	37	367	43	1
"127"	57	14	0	0	117	157	0	172	17	2	47	95	1	2	144	2	7	236	156	0
"128"	139	12	1	76	0	128	0	247	1	0	33	110	11	0	54	41	12	267	23	27
"129"	199	0	0	16	16	149	13	139	0	3	47	71	0	0	91	0	29	387	41	0
"130"	51	39	0	17	41	59	0	251	0	0	37	117	0	0	106	31	12	494	26	10
"131"	29	8	1	1	52	92	1	319	1	11	39	84	4	1	134	2	15	317	20	35
"132"	36	32	8	34	18	240	5	343	33	0	31	142	3	0	227	7	51	466	32	1
"133"	161	4	0	4	199	145	5	360	0	1	72	199	0	0	182	19	56	451	5	0
"134"	124	10	8	3	22	63	6	255	26	0	100	76	0	19	95	0	8	268	30	4
"135"	142	1	0	21	34	96	2	181	10	0	19	60	2	0	86	1	1	366	50	0
"136"	301	0	29	30	0	76	3	339	0	0	29	168	1	0	207	3	51	352	68	0
"137"	706	0	11	3	16	91	1	370	9	32	18	49	0	19	149	4	24	342	69	0
"138"	56	8	0	36	41	27	3	401	10	13	148	174	8	0	114	25	53	656	25	3
"139"	47	47	1	87	11	40	3	435	0	15	29	122	6	21	217	2	15	475	40	2
"140"	187	1	2	6	7	56	11	230	20	0	68	63	14	1	108	0	16	253	2	9
"141"	7	46	12	17	12	117	0	345	4	22	78	158	3	0	215	0	15	392	31	0
"142"	152	1	0	30	2	98	0	288	0	5	47	51	0	19	52	1	0	362	14	3
"143"	252	5	61	5	9	90	0	347	0	3	171	55	1	5	104	1	8	364	9	3
"144"	703	16	12	1	14	56	1	343	0	0	24	123	0	0	51	33	2	294	41	0
"145"	78	1	0	155	4	125	0	316	4	51	51	321	1	0	107	1	28	617	18	4
"146"	150	2	14	21	45	129	8	288	0	0	12	73	1	1	90	0	4	237	15	3
"147"	42	17	52	14	37	103	6	413	8	1	29	136	4	16	144	4	23	464	58	1
"148"	76	0	9	29	46	53	10	249	5	0	15	54	0	0	89	0	13	385	22	7
"149"	0	189	0	0	401	107	1	296	12	0	22	62	5	0	272	0	6	545	5	8
"150"	182	2	24	4	3	244	1	272	2	0	71	59	0	18	152	0	8	355	28	0
