"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"
"27"	118	2	231	79	472	71	14	1	46	8	95	42	105	10	36	76	0	1	0	43
"28"	249	67	27	331	79	4	23	2	65	7	56	45	59	6	0	132	0	0	8	16
"29"	156	7	133	14	702	70	19	0	35	12	145	96	57	16	27	127	0	6	1	14
"30"	99	0	343	102	146	24	26	13	78	6	81	196	90	17	1	109	0	7	1	23
"31"	92	7	394	2	726	15	5	0	30	0	17	69	40	0	0	58	0	2	8	1
"32"	78	1	408	143	54	9	8	20	35	0	72	100	63	30	0	123	0	0	12	54
"33"	489	7	123	162	94	85	41	1	110	0	166	70	101	9	20	151	3	1	0	23
"34"	290	12	3	270	28	7	19	25	36	0	120	50	73	7	0	76	10	11	0	26
"35"	352	36	127	36	451	120	7	4	80	5	65	161	84	30	0	52	3	6	1	34
"36"	508	77	71	191	242	55	16	6	98	3	82	86	52	18	1	104	0	33	8	10
"37"	378	33	20	147	143	310	38	22	154	3	133	133	35	52	41	160	7	6	0	47
"38"	133	0	618	14	131	1	39	2	25	0	76	49	75	25	1	79	0	5	3	4
"39"	340	30	179	4	793	45	0	0	112	0	53	58	37	72	1	46	0	0	0	14
"40"	195	2	165	209	100	8	23	4	103	0	105	130	72	21	23	173	8	2	14	49
"41"	221	2	55	110	65	88	21	5	120	9	186	126	122	51	0	129	12	0	0	5
"42"	101	0	988	12	207	10	5	36	25	4	22	33	18	9	0	26	0	0	0	0
"43"	389	9	112	246	69	65	24	23	105	4	132	191	64	51	20	118	13	1	19	16
"44"	134	30	17	1290	0	0	0	1	13	13	46	10	47	0	1	23	0	0	0	9
"45"	165	0	594	16	149	40	23	2	162	25	70	57	84	17	0	52	0	25	0	13
"46"	341	11	35	30	412	19	41	9	13	0	144	98	53	17	2	109	3	8	0	20
"47"	46	0	835	116	54	13	9	26	73	14	88	130	81	44	5	119	0	3	8	20
"48"	58	0	1042	4	475	74	11	0	9	1	77	43	11	13	3	21	0	0	1	0
"49"	277	34	20	509	7	35	11	1	72	0	49	118	106	114	2	52	0	1	0	39
"50"	264	37	268	87	293	6	8	7	113	3	112	218	62	17	2	95	4	0	4	16
"51"	76	0	564	138	127	0	3	23	48	0	87	38	23	15	29	101	0	0	0	17
"52"	179	0	380	24	395	259	15	3	26	0	129	45	62	31	1	73	1	0	4	7
"53"	86	7	223	37	293	46	26	1	4	11	117	28	44	10	0	37	0	2	4	44
"54"	180	7	35	590	10	0	9	3	24	0	43	96	27	23	0	33	0	0	0	30
"55"	325	0	349	173	84	48	56	23	31	5	148	33	73	33	7	123	0	5	3	99
"56"	222	19	43	514	40	125	9	6	119	28	118	71	58	51	27	117	5	9	9	45
"57"	189	0	456	194	208	72	24	4	55	20	79	76	63	53	16	94	1	11	1	29
"58"	146	0	306	296	46	0	1	1	70	0	102	69	93	32	2	145	2	0	0	31
"59"	106	0	195	19	593	6	29	12	62	1	116	15	42	15	0	36	0	0	19	6
"60"	88	0	452	23	191	86	11	11	41	0	74	114	140	13	1	164	0	8	1	60
"61"	152	0	234	382	16	1	13	3	69	5	144	76	71	2	7	104	2	0	3	18
"62"	338	0	322	43	172	32	27	2	43	30	67	153	82	11	27	82	0	0	9	50
"63"	312	13	277	176	30	1	2	7	89	3	107	117	55	62	5	178	0	0	4	12
"64"	116	0	447	52	138	168	14	11	26	0	69	35	73	69	0	104	17	12	55	51
"65"	267	0	555	171	26	28	88	30	131	14	90	122	96	26	2	113	5	3	0	37
"66"	214	3	326	149	203	16	48	2	49	1	146	96	60	27	36	144	3	0	0	20
"67"	229	1	221	174	254	14	33	36	115	16	164	87	67	15	44	193	0	0	0	49
"68"	48	0	493	31	609	29	3	4	84	23	183	63	111	11	1	50	0	0	0	41
"69"	106	0	457	271	114	6	21	3	55	0	41	153	92	23	13	132	0	0	0	53
"70"	332	17	19	80	305	183	7	1	73	13	114	134	52	63	13	83	10	14	0	48
"71"	411	1	431	82	286	34	29	7	104	3	82	81	46	34	11	125	0	3	3	35
"72"	185	0	393	241	126	13	71	11	182	4	140	134	112	34	1	88	0	4	3	7
"73"	384	0	203	6	295	44	29	21	45	0	49	70	177	11	0	76	1	0	0	8
"74"	188	0	233	143	49	1	35	3	40	0	77	53	51	12	1	114	0	0	6	8
"75"	241	29	68	406	107	7	35	20	106	6	213	43	86	23	32	125	7	27	0	66
"76"	85	1	270	162	60	7	10	0	78	8	72	172	66	14	35	54	5	7	0	18
"77"	208	2	502	154	129	31	41	1	68	15	163	99	122	24	81	169	6	15	1	46
"78"	92	0	725	0	421	32	19	1	42	0	52	59	9	14	2	78	0	3	0	48
"79"	80	0	149	0	659	126	0	0	7	0	29	22	11	0	0	22	0	0	0	1
"80"	185	0	304	50	464	51	55	14	77	25	97	128	50	85	2	157	19	0	1	71
"81"	155	1	451	170	40	8	0	7	76	1	132	182	48	22	6	77	0	3	0	62
"82"	69	12	32	685	25	12	29	2	111	7	117	57	68	44	3	75	2	6	0	21
"83"	173	0	351	82	145	16	23	9	91	0	156	96	66	12	1	182	7	2	0	51
"84"	345	42	74	135	362	73	46	19	148	5	93	129	115	26	0	112	2	5	0	61
"85"	218	0	486	129	130	4	45	0	42	7	130	131	76	21	14	394	6	0	0	48
"86"	201	0	313	90	81	3	22	10	120	0	109	112	99	33	11	94	0	1	1	19
"87"	203	10	172	64	110	22	46	25	57	1	29	111	55	14	2	79	3	3	0	57
"88"	483	23	119	115	474	35	24	50	79	14	123	42	112	28	5	154	5	4	3	45
"89"	333	2	122	152	27	37	99	8	85	0	69	126	108	38	2	120	18	0	16	29
"90"	239	15	30	291	31	1	28	4	24	4	134	98	114	13	3	47	0	1	0	17
"91"	122	4	46	574	51	0	23	16	50	0	64	70	22	11	39	48	1	1	1	39
"92"	107	1	125	33	403	40	8	2	13	0	123	38	29	30	1	104	7	0	0	28
"93"	289	0	73	203	149	59	1	15	78	4	106	96	70	29	28	125	0	0	0	81
"94"	621	49	61	361	33	0	21	4	21	2	108	213	221	42	21	127	0	9	1	38
"95"	229	2	416	222	113	4	65	0	162	20	176	157	89	8	1	77	0	0	10	73
"96"	109	0	326	4	769	202	50	83	9	3	34	85	24	8	3	85	5	6	0	12
"97"	176	4	325	14	101	6	10	5	27	7	105	101	52	35	0	54	0	3	0	21
"98"	243	2	282	73	139	67	39	1	69	11	203	142	73	28	8	132	0	7	0	60
"99"	140	0	304	25	534	97	33	0	79	0	93	25	59	11	3	130	5	0	0	87
"100"	253	4	72	129	63	34	32	2	34	6	81	79	64	30	21	125	7	2	6	15
"101"	173	0	116	962	1	12	35	17	88	1	136	115	91	33	16	108	1	0	0	37
"102"	188	5	282	139	76	116	4	0	81	7	139	167	92	31	13	119	13	0	0	44
"103"	425	71	59	360	218	20	9	12	108	0	183	92	118	18	7	100	0	10	0	66
"104"	189	17	282	70	444	4	25	17	94	6	88	125	36	90	1	194	13	10	1	26
"105"	244	14	49	472	114	59	15	47	82	0	114	165	142	28	6	144	10	0	34	37
"106"	220	4	157	11	261	58	11	4	24	2	89	60	40	3	3	79	0	0	0	3
"107"	468	3	167	2	530	43	22	39	29	8	93	113	151	18	0	105	0	1	0	41
"108"	251	0	300	59	119	3	49	3	138	4	92	110	130	67	1	123	4	0	1	25
"109"	220	80	13	65	128	160	13	38	41	7	38	55	51	3	0	71	4	17	0	12
"110"	187	23	54	500	6	7	13	0	76	30	78	72	69	12	0	66	2	27	0	3
"111"	126	6	187	96	101	30	4	2	42	0	110	78	77	26	3	110	0	0	7	24
"112"	297	8	74	116	36	42	6	3	84	17	121	110	63	17	0	75	30	5	5	14
"113"	124	4	324	56	180	8	6	7	92	0	81	92	21	7	27	57	1	6	10	42
"114"	188	17	162	169	86	43	13	32	99	33	103	155	75	31	0	68	0	0	0	16
"115"	344	189	0	736	10	0	0	13	73	11	73	83	77	37	2	77	7	0	0	14
"116"	578	57	12	245	56	187	5	5	164	6	95	98	145	35	35	101	5	0	0	34
"117"	83	13	411	13	355	21	25	14	85	3	67	75	84	11	1	48	5	6	0	7
"118"	254	0	303	54	26	23	1	0	37	10	63	65	55	14	10	74	25	0	6	15
"119"	304	6	63	17	129	14	4	0	59	17	47	58	77	12	0	146	0	4	1	58
"120"	281	3	179	134	426	30	12	16	36	16	90	94	109	27	5	130	4	0	0	37
"121"	263	19	34	66	334	25	4	0	52	2	111	105	46	9	0	29	0	4	0	46
"122"	349	32	238	167	333	4	52	14	42	11	256	68	155	21	13	92	12	0	0	19
"123"	132	22	110	144	137	29	19	19	108	0	110	147	65	11	21	73	0	1	0	16
"124"	178	0	318	275	87	37	64	6	107	36	222	158	41	8	3	212	13	17	0	14
"125"	247	2	158	865	10	0	29	7	106	23	69	96	36	7	2	118	0	0	0	35
"126"	211	58	11	436	170	75	28	13	36	4	86	147	45	38	0	142	0	0	0	90
"127"	517	10	132	35	196	157	6	1	101	0	96	131	73	43	3	102	0	0	20	32
"128"	344	11	128	113	128	18	34	38	19	4	73	73	47	32	4	127	0	0	5	17
"129"	119	0	362	290	124	5	49	3	84	113	130	133	116	37	6	126	40	1	14	32
"130"	38	1	162	94	349	92	14	8	35	0	84	62	100	52	0	52	25	0	0	20
"131"	322	33	45	651	250	42	10	2	86	0	99	56	108	37	2	104	0	2	1	42
"132"	131	0	590	212	72	32	76	3	41	0	156	220	119	41	4	171	0	0	0	29
"133"	139	0	109	1345	5	17	13	6	24	0	106	84	25	17	0	50	0	0	0	27
"134"	425	67	3	15	512	58	4	0	15	0	9	40	31	7	0	58	3	0	0	9
"135"	200	0	571	150	77	60	33	15	101	8	158	121	50	57	8	216	3	0	2	24
"136"	227	0	646	132	298	28	55	8	57	27	147	80	44	31	0	167	0	7	0	10
"137"	118	0	345	5	385	136	8	9	61	0	129	65	47	12	0	85	15	7	0	14
"138"	136	5	31	262	45	0	40	12	59	23	120	83	82	5	6	90	0	0	12	19
"139"	208	9	53	130	135	162	40	2	58	2	113	96	103	44	2	132	0	22	2	24
"140"	600	13	28	125	115	0	5	9	33	10	97	109	39	49	46	190	28	0	0	8
"141"	266	14	162	315	125	19	8	1	113	1	101	94	92	11	10	88	1	5	0	43
"142"	70	0	1033	85	216	24	61	9	71	8	56	73	101	13	29	91	0	0	0	41
"143"	8	0	943	0	182	6	0	0	31	31	7	2	3	1	0	1	0	0	0	45
"144"	494	44	100	308	17	21	18	10	41	0	109	32	24	86	30	101	13	10	0	6
"145"	239	1	386	41	140	22	12	54	83	4	72	143	50	8	0	101	0	0	1	7
"146"	129	9	64	48	193	236	20	1	95	5	89	71	24	14	6	44	2	1	17	15
"147"	78	0	531	1	728	2	2	3	51	0	49	95	57	39	4	51	0	0	0	7
"148"	196	9	312	18	390	68	14	0	58	1	84	135	87	6	26	96	0	1	0	56
"149"	112	1	229	6	757	20	4	0	43	0	65	39	11	14	10	48	1	0	0	13
"150"	637	5	100	214	121	88	18	17	48	0	146	163	39	103	16	162	9	4	0	78
"151"	677	29	31	129	226	12	23	3	55	1	113	159	145	50	0	106	0	3	0	30
"152"	88	0	427	107	2	3	12	0	33	0	159	78	46	30	1	58	16	0	0	7
"153"	157	8	446	222	104	1	27	10	134	3	112	116	100	5	9	71	0	0	0	57
"154"	583	9	56	384	12	4	43	11	83	61	253	159	105	28	1	98	16	5	7	9
"155"	88	0	198	549	2	11	30	8	136	3	101	91	50	27	0	174	1	1	0	26
"156"	241	1	95	125	56	153	14	8	69	5	145	90	68	58	2	113	3	0	11	34
"157"	215	1	77	0	420	9	10	8	10	1	37	80	40	8	15	23	1	2	4	48
"158"	193	4	217	16	296	65	40	2	22	6	54	120	86	9	2	64	5	0	2	8
"159"	67	0	837	50	32	27	10	0	126	5	94	79	49	12	0	56	0	0	0	14
"160"	115	0	728	33	393	45	13	0	66	1	80	46	81	37	0	46	0	0	8	7
"161"	124	3	157	54	122	37	19	30	93	4	83	93	45	38	0	143	0	0	3	4
"162"	351	7	71	253	103	11	48	1	69	3	105	91	114	39	9	139	8	0	0	17
"163"	221	5	488	161	50	58	21	0	121	27	87	224	76	43	2	116	0	0	16	19
"164"	67	0	678	2	281	75	6	31	52	0	76	62	32	32	1	82	0	0	0	62
"165"	196	8	236	386	81	9	44	15	222	3	77	105	277	16	2	182	4	31	0	73
"166"	127	1	106	565	44	5	39	7	30	1	71	97	62	24	6	75	10	1	7	21
"167"	326	13	97	429	177	23	23	38	111	31	105	49	145	26	5	194	2	1	0	26
"168"	143	2	287	115	93	24	21	0	49	23	101	115	130	5	0	220	3	0	0	31
"169"	62	0	821	129	133	10	60	10	42	0	93	23	87	17	3	61	3	9	0	1
"170"	405	86	9	102	112	178	7	3	32	1	49	154	62	12	0	20	0	0	2	13
"171"	133	19	278	3	459	12	24	15	37	0	58	88	8	6	10	37	0	0	0	8
"172"	231	31	122	159	507	82	17	8	101	12	75	94	120	77	28	196	7	0	0	22
"173"	373	46	89	87	584	25	26	1	34	86	45	65	35	51	0	50	0	0	1	30
"174"	472	1	172	34	143	68	31	3	39	1	54	81	105	2	1	107	0	0	0	29
"175"	62	0	759	38	214	20	2	0	14	5	57	49	74	12	16	27	2	0	0	0
"176"	65	0	489	24	89	36	2	5	22	6	62	89	46	24	17	115	1	0	2	21
"177"	212	2	838	83	108	21	29	20	52	1	74	74	82	25	2	110	9	0	2	30
"178"	271	6	407	34	337	37	39	17	65	5	105	109	150	48	3	159	4	0	0	24
"179"	561	1	163	267	71	16	6	4	79	4	69	96	125	42	1	75	1	16	0	20
"180"	189	7	119	15	1074	32	8	2	73	0	64	118	97	19	5	68	1	1	0	70
"181"	557	169	4	124	394	24	13	1	61	10	201	51	17	28	9	98	4	2	3	4
"182"	210	0	557	3	236	39	4	0	42	0	79	59	42	54	8	68	0	0	28	30
"183"	252	0	446	161	163	7	61	3	140	24	144	120	114	120	0	70	1	7	4	11
"184"	126	0	430	276	0	0	10	1	87	0	65	93	45	0	1	58	1	2	1	71
"185"	129	0	332	35	97	43	59	1	63	3	76	120	55	15	12	87	0	16	0	20
"186"	297	3	46	484	42	10	19	8	14	1	186	185	90	20	11	140	0	6	0	18
"187"	425	27	201	315	78	4	9	3	62	23	72	84	107	33	4	97	3	91	0	5
"188"	218	49	97	114	634	35	47	43	26	34	103	72	72	14	0	118	1	41	0	22
"189"	283	75	1	291	51	6	27	2	44	0	32	44	33	26	0	83	0	0	0	33
"190"	422	10	332	53	417	19	30	25	55	1	145	103	76	37	2	127	1	11	0	18
"191"	86	0	999	11	310	4	36	6	108	0	43	29	37	2	3	9	30	0	9	24
"192"	436	16	13	23	189	174	7	1	41	1	48	66	30	12	2	60	0	0	0	44
"193"	136	29	152	11	796	23	1	2	24	0	28	78	52	10	3	84	0	0	0	1
"194"	81	0	547	81	134	0	33	0	20	0	44	33	22	11	0	37	2	3	0	21
"195"	183	0	914	14	99	57	10	18	92	18	90	205	37	98	14	54	1	3	3	37
"196"	368	7	74	151	357	139	8	16	120	0	170	92	106	16	0	83	2	12	0	72
"197"	4	0	1399	7	179	27	0	0	40	0	3	11	17	55	0	29	0	4	0	38
"198"	223	2	417	39	296	9	12	23	61	26	99	116	70	42	2	91	4	0	0	26
"199"	142	123	30	1144	31	0	1	0	101	64	99	24	27	3	33	51	0	9	0	53
"200"	435	22	26	300	189	17	7	2	34	0	118	122	87	56	13	59	0	0	4	70
