"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"
"73"	122	7	895	77	93
"74"	80	44	1592	61	72
"75"	597	7	119	94	184
"76"	103	290	1025	97	193
"77"	114	43	669	157	229
"78"	22	127	852	169	238
"79"	79	0	917	6	29
"80"	57	21	1111	12	78
"81"	523	310	649	43	178
"82"	308	209	439	129	329
"83"	413	44	562	23	117
"84"	182	379	664	33	68
"85"	166	24	806	52	178
"86"	205	58	1047	182	296
"87"	284	10	1232	123	175
"88"	153	435	170	161	219
"89"	396	549	724	59	71
"90"	624	0	454	172	104
"91"	8	43	822	149	138
"92"	112	135	677	232	214
"93"	97	12	1251	101	91
"94"	564	303	123	531	370
"95"	191	488	187	78	253
"96"	476	33	595	370	263
"97"	44	0	1313	0	25
"98"	251	34	1088	53	188
"99"	278	12	1173	54	157
"100"	206	2	1181	13	264
"101"	147	24	1280	44	70
"102"	23	36	1599	101	185
"103"	89	268	100	525	360
"104"	103	34	1369	5	70
"105"	2	30	1682	71	76
"106"	190	410	738	230	203
"107"	40	48	1525	91	136
"108"	8	628	825	123	189
"109"	73	42	595	172	242
"110"	125	5	1119	40	111
"111"	85	71	1073	314	267
"112"	211	289	1190	16	203
"113"	349	0	635	5	41
"114"	249	137	592	52	134
"115"	355	117	302	216	94
"116"	98	3	1116	11	31
"117"	13	169	1323	15	81
"118"	249	66	933	37	207
"119"	27	283	765	217	322
"120"	310	42	1000	8	126
"121"	109	17	974	17	64
"122"	75	0	1663	0	3
"123"	89	3	1233	23	51
"124"	7	21	1100	9	19
"125"	20	84	1102	16	102
"126"	522	82	131	281	288
"127"	258	16	740	113	144
"128"	199	207	1308	74	166
"129"	266	69	1455	96	90
"130"	803	11	324	119	90
"131"	320	15	277	281	166
"132"	5	0	1562	0	9
"133"	118	453	418	165	126
"134"	200	83	976	158	244
"135"	60	112	895	129	258
"136"	126	760	241	235	255
"137"	10	3	1156	11	54
"138"	134	15	1674	18	135
"139"	434	4	627	142	174
"140"	270	0	1438	38	70
"141"	199	6	994	14	34
"142"	24	13	1435	113	223
"143"	263	0	1590	22	71
"144"	124	221	666	39	162
"145"	57	16	975	16	29
"146"	172	63	652	34	143
"147"	51	18	976	33	29
"148"	49	51	1748	64	62
"149"	1133	58	423	62	164
"150"	311	34	1387	41	141
"151"	236	149	665	118	211
"152"	44	83	1024	71	121
"153"	346	1	1080	18	93
"154"	166	93	716	181	253
"155"	133	220	954	90	278
"156"	57	17	1278	33	76
"157"	468	0	1038	92	101
"158"	186	11	1472	8	83
"159"	17	0	1341	47	50
"160"	40	28	1592	3	35
"161"	1029	7	314	155	302
"162"	557	132	933	164	168
"163"	60	139	1258	0	32
"164"	109	47	1467	3	107
"165"	296	126	254	160	235
"166"	50	94	923	92	158
"167"	834	0	537	52	81
"168"	103	35	1425	15	120
"169"	425	52	941	77	240
"170"	74	143	764	127	255
"171"	102	13	1636	18	51
"172"	124	0	1179	9	18
"173"	501	157	748	205	272
"174"	689	17	824	70	284
"175"	248	615	386	163	181
"176"	113	14	1282	19	152
"177"	411	2	867	46	93
"178"	0	145	1608	20	92
"179"	9	0	1187	0	0
"180"	20	79	1026	70	64
"181"	449	81	528	23	94
"182"	194	68	1464	44	61
"183"	82	36	1112	87	118
"184"	179	445	485	315	411
"185"	480	28	813	126	157
"186"	23	8	1683	0	65
"187"	207	4	1443	65	136
"188"	21	28	1588	21	102
"189"	29	51	985	1	33
"190"	3	2	1353	0	9
"191"	323	146	944	89	324
"192"	156	5	867	104	101
"193"	16	45	1402	9	30
"194"	76	19	1638	17	197
"195"	123	0	1232	1	126
"196"	62	283	1141	75	214
"197"	165	20	1035	170	167
"198"	466	50	192	530	423
"199"	33	382	683	220	257
"200"	135	45	566	143	251
